,name,InCh.Key
1,5-Fluorouracil,GHASVSINZRGABV-UHFFFAOYSA-N
2,Veliparib,JNAHVYVRKWKWKQ-CYBMUJFWSA-N
3,MK-1775,BKWJAKQVGHWELA-UHFFFAOYSA-N
4,915019-65-7,JOGKUKXHTYWRGZ-UHFFFAOYSA-N
5,Bortezomib,GXJABQQUPOEUTA-RDJZCZTQSA-N
6,Carboplatinum,BHKICZDKIIDMNR-UHFFFAOYSA-L
7,cyclophosphamide,CMSMOCZEIVJLDB-UHFFFAOYSA-N
8,Dasatinib,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
9,dexamethasone,UREBDLICKHMUKA-CXSFZGCWSA-N
10,Dinaciclib,PIMQWRZWLQKKBJ-SFHVURJKSA-N
11,doxorubicin,AOJJSUZBOXZQNB-TZSSRYMLSA-N
12,Erlotinib,AAKJLRGGTJKAMG-UHFFFAOYSA-N
13,etoposide,VJJPUSNTGOMMGY-MRVIYFEKSA-N
14,geldanamycin,QTQAWLPCGQOSGP-KSRBKZBZSA-N
15,gemcitabine,SDUQYLNIPVEERB-QPPQHZFASA-N
16,L-778123 free base,JNUGFGAVPBYSHF-UHFFFAOYSA-N
17,Lapatinib,BCFGMOOMADDAQU-UHFFFAOYSA-N
18,metformin,XZWYZXLIPXDOLR-UHFFFAOYSA-N
19,methotrexate,FBOZXECLQNJBKD-ZDUSSCGKSA-N
20,mitomycin C,NWIBSHFKIJFRCO-WUDYKRTCSA-N
21,MK-2206,ULDXWLCXEDXJGE-UHFFFAOYSA-N
22,Niraparib,PCHKPVIQAHNQLW-CQSZACIVSA-N
23,MK-5108,LCVIRAZGMYMNNT-UHFFFAOYSA-N
24,Deforolimus,BUROJSBIWGDYCN-GAUTUEMISA-N
25,Eloxatin (TN),ZROHGHOFXNOHSO-BNTLRKBRSA-L
26,paclitaxel,RCINICONZNJXQF-MZXODVADSA-N
27,391210-10-9,SUDAHWBOROXANE-SECBINFHSA-N
28,7-Ethyl-10-hydroxycamptothecin,FJHBVJOVLFPMQE-QFIPXVFZSA-N
29,Sorafenib,MLDQJTXFUGDVEO-UHFFFAOYSA-N
30,Sunitinib,WINHZLLDWRZWRT-ATVHPVEESA-N
31,temozolomide,BPEGJWRSRHCHSN-UHFFFAOYSA-N
32,topotecan,UCFGDBYHRUNTLO-QHCPKHFHSA-N
33,vinblastine,JXLYSJRDGCGARV-CFWMRBGOSA-N
34,vinorelbine,GBABOYUKABKIAF-BXZSYHTRSA-N
35,Vorinostat,WAEXFXRVDQXREF-UHFFFAOYSA-N
36,891494-63-6,GMIZZEXBPRLVIV-SECBINFHSA-N
