Drug1,Drug2,Index1,Index2,Cell_Line,Cindex,Tissue,Tindex,Synergy
5-Fluorouracil,Veliparib,1,2,MDA.MB.436,11,breast,5,1.106381637
5-Fluorouracil,MK-1775,1,3,MDA.MB.436,11,breast,5,12.53829574
5-Fluorouracil,915019-65-7,1,4,MDA.MB.436,11,breast,5,4.29413387
5-Fluorouracil,Bortezomib,1,5,MDA.MB.436,11,breast,5,-4.364524014
5-Fluorouracil,Dasatinib,1,8,MDA.MB.436,11,breast,5,2.809605168
5-Fluorouracil,Dinaciclib,1,10,MDA.MB.436,11,breast,5,-3.674994373
5-Fluorouracil,Erlotinib,1,12,MDA.MB.436,11,breast,5,4.61783064
5-Fluorouracil,geldanamycin,1,14,MDA.MB.436,11,breast,5,-1.045769278
5-Fluorouracil,L-778123 free base,1,16,MDA.MB.436,11,breast,5,3.31872472
5-Fluorouracil,Lapatinib,1,17,MDA.MB.436,11,breast,5,0.272619011
5-Fluorouracil,MK-2206,1,21,MDA.MB.436,11,breast,5,1.879164576
5-Fluorouracil,Niraparib,1,22,MDA.MB.436,11,breast,5,1.048372661
5-Fluorouracil,MK-5108,1,23,MDA.MB.436,11,breast,5,-2.139945328
5-Fluorouracil,Deforolimus,1,24,MDA.MB.436,11,breast,5,4.62196428
5-Fluorouracil,891494-63-6,1,36,MDA.MB.436,11,breast,5,13.97603539
5-Fluorouracil,391210-10-9,1,27,MDA.MB.436,11,breast,5,0.730783539
5-Fluorouracil,Sorafenib,1,29,MDA.MB.436,11,breast,5,-10.87441591
5-Fluorouracil,Sunitinib,1,30,MDA.MB.436,11,breast,5,3.787750893
5-Fluorouracil,temozolomide,1,31,MDA.MB.436,11,breast,5,-7.804270619
5-Fluorouracil,Vorinostat,1,35,MDA.MB.436,11,breast,5,-0.170990874
Veliparib,915019-65-7,2,4,MDA.MB.436,11,breast,5,7.726051458
Veliparib,Dinaciclib,2,10,MDA.MB.436,11,breast,5,-0.442550226
Veliparib,geldanamycin,2,14,MDA.MB.436,11,breast,5,4.360697131
Veliparib,Deforolimus,2,24,MDA.MB.436,11,breast,5,1.985932584
Veliparib,891494-63-6,2,36,MDA.MB.436,11,breast,5,0.796850166
Veliparib,Eloxatin (TN),2,25,MDA.MB.436,11,breast,5,-5.484987255
Veliparib,7-Ethyl-10-hydroxycamptothecin,2,28,MDA.MB.436,11,breast,5,8.208191865
Veliparib,Sorafenib,2,29,MDA.MB.436,11,breast,5,-9.392445016
Veliparib,topotecan,2,32,MDA.MB.436,11,breast,5,-1.96915814
MK-1775,Veliparib,3,2,MDA.MB.436,11,breast,5,1.081688058
MK-1775,915019-65-7,3,4,MDA.MB.436,11,breast,5,11.64389881
MK-1775,Bortezomib,3,5,MDA.MB.436,11,breast,5,-3.047405284
MK-1775,Dasatinib,3,8,MDA.MB.436,11,breast,5,2.859244403
MK-1775,Dinaciclib,3,10,MDA.MB.436,11,breast,5,-3.163659594
MK-1775,Erlotinib,3,12,MDA.MB.436,11,breast,5,1.87815309
MK-1775,geldanamycin,3,14,MDA.MB.436,11,breast,5,2.205676194
MK-1775,Lapatinib,3,17,MDA.MB.436,11,breast,5,-1.45929928
MK-1775,MK-2206,3,21,MDA.MB.436,11,breast,5,4.960874303
MK-1775,Niraparib,3,22,MDA.MB.436,11,breast,5,8.31576674
MK-1775,MK-5108,3,23,MDA.MB.436,11,breast,5,-13.4910452
MK-1775,Deforolimus,3,24,MDA.MB.436,11,breast,5,9.085688825
MK-1775,891494-63-6,3,36,MDA.MB.436,11,breast,5,21.12960148
MK-1775,Eloxatin (TN),3,25,MDA.MB.436,11,breast,5,-4.30365628
MK-1775,391210-10-9,3,27,MDA.MB.436,11,breast,5,5.536762379
MK-1775,7-Ethyl-10-hydroxycamptothecin,3,28,MDA.MB.436,11,breast,5,2.106603523
MK-1775,Sorafenib,3,29,MDA.MB.436,11,breast,5,-10.18756589
MK-1775,topotecan,3,32,MDA.MB.436,11,breast,5,0.22964797
915019-65-7,Dinaciclib,4,10,MDA.MB.436,11,breast,5,3.025428856
915019-65-7,891494-63-6,4,36,MDA.MB.436,11,breast,5,10.43629524
915019-65-7,Eloxatin (TN),4,25,MDA.MB.436,11,breast,5,7.518234851
915019-65-7,7-Ethyl-10-hydroxycamptothecin,4,28,MDA.MB.436,11,breast,5,6.887234831
915019-65-7,Sorafenib,4,29,MDA.MB.436,11,breast,5,2.893190628
Bortezomib,Veliparib,5,2,MDA.MB.436,11,breast,5,0.084342475
Bortezomib,915019-65-7,5,4,MDA.MB.436,11,breast,5,0.631582526
Bortezomib,Dasatinib,5,8,MDA.MB.436,11,breast,5,-4.473492909
Bortezomib,Dinaciclib,5,10,MDA.MB.436,11,breast,5,-10.07765815
Bortezomib,geldanamycin,5,14,MDA.MB.436,11,breast,5,-1.506372627
Bortezomib,Deforolimus,5,24,MDA.MB.436,11,breast,5,-0.588144256
Bortezomib,891494-63-6,5,36,MDA.MB.436,11,breast,5,-5.403803973
Bortezomib,Eloxatin (TN),5,25,MDA.MB.436,11,breast,5,-5.477878981
Bortezomib,7-Ethyl-10-hydroxycamptothecin,5,28,MDA.MB.436,11,breast,5,0.428738863
Bortezomib,Sorafenib,5,29,MDA.MB.436,11,breast,5,-14.52494633
Bortezomib,topotecan,5,32,MDA.MB.436,11,breast,5,-2.495376397
Carboplatinum,Veliparib,6,2,MDA.MB.436,11,breast,5,2.543900933
Carboplatinum,MK-1775,6,3,MDA.MB.436,11,breast,5,6.215164866
Carboplatinum,915019-65-7,6,4,MDA.MB.436,11,breast,5,8.345716802
Carboplatinum,Bortezomib,6,5,MDA.MB.436,11,breast,5,-1.333879527
Carboplatinum,Dasatinib,6,8,MDA.MB.436,11,breast,5,4.604934568
Carboplatinum,Dinaciclib,6,10,MDA.MB.436,11,breast,5,-2.976529007
Carboplatinum,Erlotinib,6,12,MDA.MB.436,11,breast,5,2.629611053
Carboplatinum,geldanamycin,6,14,MDA.MB.436,11,breast,5,1.154925842
Carboplatinum,L-778123 free base,6,16,MDA.MB.436,11,breast,5,0.732019226
Carboplatinum,Lapatinib,6,17,MDA.MB.436,11,breast,5,0.957639124
Carboplatinum,MK-2206,6,21,MDA.MB.436,11,breast,5,5.153188936
Carboplatinum,Niraparib,6,22,MDA.MB.436,11,breast,5,3.833871157
Carboplatinum,MK-5108,6,23,MDA.MB.436,11,breast,5,0.060179298
Carboplatinum,Deforolimus,6,24,MDA.MB.436,11,breast,5,7.594058043
Carboplatinum,891494-63-6,6,36,MDA.MB.436,11,breast,5,6.6940493
Carboplatinum,391210-10-9,6,27,MDA.MB.436,11,breast,5,3.061773657
Carboplatinum,Sorafenib,6,29,MDA.MB.436,11,breast,5,-18.58252843
Carboplatinum,Sunitinib,6,30,MDA.MB.436,11,breast,5,0.607661931
Carboplatinum,temozolomide,6,31,MDA.MB.436,11,breast,5,-10.30803552
Carboplatinum,Vorinostat,6,35,MDA.MB.436,11,breast,5,1.414929602
cyclophosphamide,Veliparib,7,2,MDA.MB.436,11,breast,5,-3.500879895
cyclophosphamide,MK-1775,7,3,MDA.MB.436,11,breast,5,-58.57482757
cyclophosphamide,915019-65-7,7,4,MDA.MB.436,11,breast,5,-20.81197948
cyclophosphamide,Bortezomib,7,5,MDA.MB.436,11,breast,5,-49.86747991
cyclophosphamide,Dasatinib,7,8,MDA.MB.436,11,breast,5,-4.354986402
cyclophosphamide,Dinaciclib,7,10,MDA.MB.436,11,breast,5,-40.95651221
cyclophosphamide,Erlotinib,7,12,MDA.MB.436,11,breast,5,-22.02846011
cyclophosphamide,geldanamycin,7,14,MDA.MB.436,11,breast,5,-25.6571782
cyclophosphamide,L-778123 free base,7,16,MDA.MB.436,11,breast,5,-7.983575745
cyclophosphamide,Lapatinib,7,17,MDA.MB.436,11,breast,5,-7.519293682
cyclophosphamide,MK-2206,7,21,MDA.MB.436,11,breast,5,-12.53115847
cyclophosphamide,Niraparib,7,22,MDA.MB.436,11,breast,5,-7.115599144
cyclophosphamide,MK-5108,7,23,MDA.MB.436,11,breast,5,-15.48911896
cyclophosphamide,Deforolimus,7,24,MDA.MB.436,11,breast,5,-9.331717756
cyclophosphamide,891494-63-6,7,36,MDA.MB.436,11,breast,5,-24.36572846
cyclophosphamide,391210-10-9,7,27,MDA.MB.436,11,breast,5,-7.815382058
cyclophosphamide,Sorafenib,7,29,MDA.MB.436,11,breast,5,-17.03847147
cyclophosphamide,Sunitinib,7,30,MDA.MB.436,11,breast,5,-20.1745728
cyclophosphamide,temozolomide,7,31,MDA.MB.436,11,breast,5,-1.340741108
cyclophosphamide,Vorinostat,7,35,MDA.MB.436,11,breast,5,-23.07131707
Dasatinib,Veliparib,8,2,MDA.MB.436,11,breast,5,5.369559364
Dasatinib,915019-65-7,8,4,MDA.MB.436,11,breast,5,1.497575027
Dasatinib,Dinaciclib,8,10,MDA.MB.436,11,breast,5,-1.996009908
Dasatinib,geldanamycin,8,14,MDA.MB.436,11,breast,5,0.540345306
Dasatinib,Deforolimus,8,24,MDA.MB.436,11,breast,5,10.92130714
Dasatinib,891494-63-6,8,36,MDA.MB.436,11,breast,5,1.85179667
Dasatinib,Eloxatin (TN),8,25,MDA.MB.436,11,breast,5,-11.2945451
Dasatinib,7-Ethyl-10-hydroxycamptothecin,8,28,MDA.MB.436,11,breast,5,-1.626686176
Dasatinib,Sorafenib,8,29,MDA.MB.436,11,breast,5,-2.600725378
Dasatinib,topotecan,8,32,MDA.MB.436,11,breast,5,-12.9547617
dexamethasone,Veliparib,9,2,MDA.MB.436,11,breast,5,-3.60386427
dexamethasone,MK-1775,9,3,MDA.MB.436,11,breast,5,-60.04195257
dexamethasone,915019-65-7,9,4,MDA.MB.436,11,breast,5,-23.82713573
dexamethasone,Bortezomib,9,5,MDA.MB.436,11,breast,5,-24.56904272
dexamethasone,Dasatinib,9,8,MDA.MB.436,11,breast,5,-9.953220776
dexamethasone,Dinaciclib,9,10,MDA.MB.436,11,breast,5,-19.15344333
dexamethasone,Erlotinib,9,12,MDA.MB.436,11,breast,5,-23.29544449
dexamethasone,geldanamycin,9,14,MDA.MB.436,11,breast,5,-26.2706782
dexamethasone,L-778123 free base,9,16,MDA.MB.436,11,breast,5,-10.16746637
dexamethasone,Lapatinib,9,17,MDA.MB.436,11,breast,5,-12.52331712
dexamethasone,MK-2206,9,21,MDA.MB.436,11,breast,5,-14.4087366
dexamethasone,Niraparib,9,22,MDA.MB.436,11,breast,5,-11.17128664
dexamethasone,MK-5108,9,23,MDA.MB.436,11,breast,5,-9.819935246
dexamethasone,Deforolimus,9,24,MDA.MB.436,11,breast,5,-11.75587401
dexamethasone,891494-63-6,9,36,MDA.MB.436,11,breast,5,-20.85980658
dexamethasone,391210-10-9,9,27,MDA.MB.436,11,breast,5,-5.911866432
dexamethasone,Sorafenib,9,29,MDA.MB.436,11,breast,5,-8.798237093
dexamethasone,Sunitinib,9,30,MDA.MB.436,11,breast,5,-17.01193217
dexamethasone,temozolomide,9,31,MDA.MB.436,11,breast,5,0.298403838
dexamethasone,Vorinostat,9,35,MDA.MB.436,11,breast,5,-15.47526118
Dinaciclib,891494-63-6,10,36,MDA.MB.436,11,breast,5,-3.736861559
doxorubicin,Veliparib,11,2,MDA.MB.436,11,breast,5,-1.223075749
doxorubicin,MK-1775,11,3,MDA.MB.436,11,breast,5,0.933264604
doxorubicin,915019-65-7,11,4,MDA.MB.436,11,breast,5,4.951414297
doxorubicin,Bortezomib,11,5,MDA.MB.436,11,breast,5,-4.249092565
doxorubicin,Dasatinib,11,8,MDA.MB.436,11,breast,5,-12.97110289
doxorubicin,Dinaciclib,11,10,MDA.MB.436,11,breast,5,-2.298302527
doxorubicin,Erlotinib,11,12,MDA.MB.436,11,breast,5,-0.927727496
doxorubicin,geldanamycin,11,14,MDA.MB.436,11,breast,5,-4.297239086
doxorubicin,L-778123 free base,11,16,MDA.MB.436,11,breast,5,-10.58763862
doxorubicin,Lapatinib,11,17,MDA.MB.436,11,breast,5,-17.75543979
doxorubicin,MK-2206,11,21,MDA.MB.436,11,breast,5,-0.859532673
doxorubicin,Niraparib,11,22,MDA.MB.436,11,breast,5,-5.176263788
doxorubicin,MK-5108,11,23,MDA.MB.436,11,breast,5,-15.63395298
doxorubicin,Deforolimus,11,24,MDA.MB.436,11,breast,5,2.21191885
doxorubicin,891494-63-6,11,36,MDA.MB.436,11,breast,5,5.467023374
doxorubicin,391210-10-9,11,27,MDA.MB.436,11,breast,5,-8.395781113
doxorubicin,Sorafenib,11,29,MDA.MB.436,11,breast,5,-11.66277155
doxorubicin,Sunitinib,11,30,MDA.MB.436,11,breast,5,-5.135877405
