Drug1,Drug2,Index1,Index2,Cell_Line,Cindex,Tissue,Tindex,Synergy
Cisplatin,Camptothecin,14,13,AU565,2,breast,2,0
Cisplatin,Navitoclax,14,35,MCF7,54,breast,2,0
Cisplatin,Navitoclax,14,35,MDA.MB.157,55,breast,2,0
Cisplatin,Navitoclax,14,35,MDA.MB.231,56,breast,2,1
Cisplatin,Navitoclax,14,35,MDA.MB.361,57,breast,2,0
Cisplatin,Navitoclax,14,35,MDA.MB.415,58,breast,2,0
Cisplatin,Navitoclax,14,35,MDA.MB.436,59,breast,2,0
Cisplatin,Navitoclax,14,35,MDA.MB.453,60,breast,2,0
Cisplatin,Navitoclax,14,35,MDA.MB.468,61,breast,2,0
Cisplatin,Navitoclax,14,35,MFM.223,63,breast,2,0
Cisplatin,Navitoclax,14,35,OCUB.M,67,breast,2,0
Cisplatin,Navitoclax,14,35,T47D,90,breast,2,0
Cisplatin,Navitoclax,14,35,UACC.893,92,breast,2,0
Cisplatin,Camptothecin,14,13,BT.549,3,breast,2,0
Cisplatin,Camptothecin,14,13,CAL.120,6,breast,2,0
Cisplatin,Camptothecin,14,13,CAL.51,7,breast,2,0
Cisplatin,Camptothecin,14,13,CAMA.1,8,breast,2,0
Cisplatin,Camptothecin,14,13,COLO.824,15,breast,2,0
Cisplatin,Camptothecin,14,13,DU.4475,17,breast,2,0
Cisplatin,Camptothecin,14,13,EFM.19,18,breast,2,0
Cisplatin,Camptothecin,14,13,EVSA.T,19,breast,2,0
Cisplatin,Camptothecin,14,13,HCC1143,21,breast,2,0
Cisplatin,Camptothecin,14,13,HCC1187,22,breast,2,0
Cisplatin,Camptothecin,14,13,HCC1395,23,breast,2,0
Cisplatin,Camptothecin,14,13,HCC1419,24,breast,2,0
Cisplatin,Camptothecin,14,13,HCC1428,25,breast,2,0
Cisplatin,Camptothecin,14,13,HCC1806,26,breast,2,0
Cisplatin,Camptothecin,14,13,HCC1937,27,breast,2,0
Cisplatin,Camptothecin,14,13,HCC1954,28,breast,2,0
Cisplatin,Camptothecin,14,13,HCC38,31,breast,2,0
Cisplatin,Camptothecin,14,13,HCC70,32,breast,2,0
Cisplatin,Camptothecin,14,13,Hs.578.T,35,breast,2,0
Cisplatin,Camptothecin,14,13,JIMT.1,42,breast,2,0
Cisplatin,Camptothecin,14,13,MCF7,54,breast,2,0
Cisplatin,Camptothecin,14,13,MDA.MB.157,55,breast,2,0
Cisplatin,Camptothecin,14,13,MDA.MB.231,56,breast,2,0
Cisplatin,Camptothecin,14,13,MDA.MB.361,57,breast,2,0
Cisplatin,Camptothecin,14,13,MDA.MB.415,58,breast,2,0
Cisplatin,Camptothecin,14,13,MDA.MB.436,59,breast,2,0
Cisplatin,Camptothecin,14,13,MDA.MB.453,60,breast,2,0
Cisplatin,Camptothecin,14,13,MDA.MB.468,61,breast,2,0
Cisplatin,Camptothecin,14,13,MFM.223,63,breast,2,0
Cisplatin,Camptothecin,14,13,OCUB.M,67,breast,2,0
Cisplatin,Camptothecin,14,13,T47D,90,breast,2,0
Cisplatin,Camptothecin,14,13,UACC.893,92,breast,2,0
Cisplatin,Docetaxel,14,19,AU565,2,breast,2,0
Cisplatin,Vorinostat,14,60,AU565,2,breast,2,0
Cisplatin,Vorinostat,14,60,BT.549,3,breast,2,0
Cisplatin,Vorinostat,14,60,CAL.120,6,breast,2,0
